,Univ (i),Univ(j),Papers,Distance (ij),No Projects,Contribution Horizon,Web Of Science Name,Country,City,Nuts CODE,geolocation,No of WoS Papers (total),No of WoS Papers (2014-2020),No of WoS Papers (2021-2024),"Language (slav -1, other - 0)",Number of students enrolled in a year,Erasmus outgoing mobilities,Erasmus incoming mobilities,Erasmus total mobilities,"Position in International rankings (high 1, low 0)",avg contrib per project,contrib horizon % of total,,var1,var2,var3,var4,var5,var6,var7,var8,var9
1,UNIVERSITY OF CYPRUS,University of Tartu,53,"4298,8",135,52444253.64,University of Tartu,EE,Tartu,EE008,"58.3807628,26.7194208",34713,12022,7351,0,14000,2823,3227,6050,1,388475.9529,7.835983135,,2.48,0.00,5.74,0.86,0.00,1.99,0.53,0.00,1.22
2,UNIVERSITY OF CYPRUS,University of Ljubljana,84,"2679,2",163,48273117.50,University of Ljubljana,SI,Ljubljana,SI041,"46.048973,14.5039794308021",70248,22010,14037,1,37615,10707,11649,22356,0,296154.0951,7.152363845,,1.87,0.00,3.14,0.59,0.00,0.98,0.37,0.00,0.63
3,UNIVERSITY OF CYPRUS,Masaryk University Brno,13,"2841,4",89,42184054.10,Masaryk University Brno,CZ,Brno,CZ064,"49.1992954,16.5972215",44285,17393,10062,1,32271,8732,5926,14658,N/A,473978.136,6.250180618,,1.37,0.00,3.02,0.54,0.00,1.19,0.31,0.00,0.69
4,UNIVERSITY OF CYPRUS,Charles University Prague,1301,"3041,9",88,33702351.18,Charles University Prague,CZ,Praha 1,CZ010,"50.08647615,14.4246222336325",121755,40566,23309,1,49787,7433,8648,16081,N/A,382981.2634,4.993493078,,2.45,0.00,7.57,0.81,0.00,2.52,0.47,0.00,1.45
5,UNIVERSITY OF CYPRUS,Czech Technical University Prague,27,"3048,1",81,32924004.68,Czech Technical University Prague,CZ,Praha,CZ010,"50.102175,14.3884697",36536,15092,6821,1,16217,2155,4021,6176,1,406469.1936,4.878169733,,2.25,0.00,5.92,0.93,0.00,2.44,0.42,0.00,1.10
6,UNIVERSITY OF CYPRUS,Tallinn University of Technology,1,"4359,9",69,30065589.57,Tallinn University of Technology,EE,Tallinn,EE001,"59.3948992,24.6717935",15190,6001,3388,1,8739,1920,2980,4900,0,435733.1822,4.454653997,,1.74,0.00,3.10,0.69,0.00,1.22,0.39,0.00,0.69
7,UNIVERSITY OF CYPRUS,University of Warsaw,1316,"3396,7",96,28918622.74,University of Warsaw,PL,WARSZAWA,PL911,"52.23961125,21.0173473017396",62301,19132,11114,1,42700,9547,6464,16011,1,301235.6535,4.284714194,,1.46,0.00,3.89,0.45,0.00,1.19,0.26,0.00,0.69
8,UNIVERSITY OF CYPRUS,Brno University of Technology,6,"2843,6",60,27386453.32,Brno University of Technology,CZ,Brno Stred,CZ064,"49.1992954,16.5972215",24584,10565,4981,1,17975,4786,3799,8585,0,456440.8887,4.057701029,,1.37,0.00,2.86,0.59,0.00,1.23,0.28,0.00,0.58
9,UNIVERSITY OF CYPRUS,National University of Science & Technology POLITEHNICA Bucharest,53,"1835,8",47,21262969.32,National University of Science & Technology POLITEHNICA Bucharest,RO,Bucharest,RO321,"44.4420231,26.0522546",38862,16158,5465,0,25469,1721,1644,3365,0,452403.6026,3.15041789,,1.53,0.00,11.55,0.63,0.00,4.80,0.21,0.00,1.62
10,UNIVERSITY OF CYPRUS,Central European University,2,"2519,3",46,20575367.03,Central European University,HU,Budapest,HU110,"47.546344,18.9501556",5031,2653,515,0,1479,409,469,878,N/A,447290.5876,3.048539619,,3.40,0.00,5.73,1.79,0.00,3.02,0.35,0.00,0.59
11,UNIVERSITY OF CYPRUS,Budapest University of Technology & Economics,7,"2518,5",62,19329058.92,Budapest University of Technology & Economics,HU,Budapest,HU110,"47.4813705,19.0556393",33370,9633,5349,0,20152,2801,3879,6680,0,311759.0148,2.863880962,,1.66,0.00,5.00,0.48,0.00,1.44,0.27,0.00,0.80
12,UNIVERSITY OF CYPRUS,Cyprus University of Technology,492,"83,6",54,19267425.71,Cyprus University of Technology,CY,Lemesos,CY000,"34.79489125,32.985589384508",5349,1745,1745,0,3280,639,572,1211,0,356804.1798,2.854749106,,1.63,0.00,4.42,0.53,0.00,1.44,0.53,0.00,1.44
13,UNIVERSITY OF CYPRUS,Sofia University,0,"5329,3",34,19079908.91,Sofia University,BG,Sofia,BG411,"42.6978634,23.3221789",35,24,6,1,22490,1321,718,2039,0,561173.7915,2.826965767,,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00
