id,Univ (i),Univ(j),Papers,Distance (ij),No Projects,Contribution Horizon,Web Of Science Name,Country,City,Nuts CODE,geolocation,No of WoS Papers (total),No of WoS Papers (2014-2020),No of WoS Papers (2021-2024),"Language (slav -1, other - 0)",Number of students enrolled in a year,Erasmus outgoing mobilities,Erasmus incoming mobilities,Erasmus total mobilities,"Position in International rankings (high 1, low 0)"
1,UNIVERSITY OF CYPRUS,University of Tartu,53,"4298,8",135,"52444253,64",University of Tartu,EE,Tartu,EE008,"58.3807628,26.7194208",34713,12022,7351,0,14000,2823,3227,6050,1
2,UNIVERSITY OF CYPRUS,University of Ljubljana,84,"2679,2",163,"48273117,5",University of Ljubljana,SI,Ljubljana,SI041,"46.048973,14.5039794308021",70248,22010,14037,1,37615,10707,11649,22356,0
3,UNIVERSITY OF CYPRUS,Masaryk University Brno,13,"2841,4",89,"42184054,1",Masaryk University Brno,CZ,Brno,CZ064,"49.1992954,16.5972215",44285,17393,10062,1,32271,8732,5926,14658,N/A
4,UNIVERSITY OF CYPRUS,Charles University Prague,1301,"3041,9",88,"33702351,18",Charles University Prague,CZ,Praha 1,CZ010,"50.08647615,14.4246222336325",121755,40566,23309,1,49787,7433,8648,16081,N/A
5,UNIVERSITY OF CYPRUS,Czech Technical University Prague,27,"3048,1",81,"32924004,68",Czech Technical University Prague,CZ,Praha,CZ010,"50.102175,14.3884697",36536,15092,6821,1,16217,2155,4021,6176,1
6,UNIVERSITY OF CYPRUS,Tallinn University of Technology,1,"4359,9",69,"30065589,57",Tallinn University of Technology,EE,Tallinn,EE001,"59.3948992,24.6717935",15190,6001,3388,1,8739,1920,2980,4900,0
7,UNIVERSITY OF CYPRUS,University of Warsaw,1316,"3396,7",96,"28918622,74",University of Warsaw,PL,WARSZAWA,PL911,"52.23961125,21.0173473017396",62301,19132,11114,1,42700,9547,6464,16011,1
8,UNIVERSITY OF CYPRUS,Brno University of Technology,6,"2843,6",60,"27386453,32",Brno University of Technology,CZ,Brno Stred,CZ064,"49.1992954,16.5972215",24584,10565,4981,1,17975,4786,3799,8585,0
9,UNIVERSITY OF CYPRUS,National University of Science & Technology POLITEHNICA Bucharest,53,"1835,8",47,"21262969,32",National University of Science & Technology POLITEHNICA Bucharest,RO,Bucharest,RO321,"44.4420231,26.0522546",38862,16158,5465,0,25469,1721,1644,3365,0
10,UNIVERSITY OF CYPRUS,Central European University,2,"2519,3",46,"20575367,03",Central European University,HU,Budapest,HU110,"47.546344,18.9501556",5031,2653,515,0,1479,409,469,878,N/A
